route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,BUS,Menin -- Poperinge,,700,,,
10,NMBS/SNCB,BUS,Audenarde -- Zottegem,,700,,,
100,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Waregem,,700,,,
101,NMBS/SNCB,IC,Termonde -- Lokeren,,103,,,
102,NMBS/SNCB,IC,Mons -- Mouscron,,103,,,
103,NMBS/SNCB,BUS,Chatelet -- Tamines,,700,,,
104,NMBS/SNCB,BUS,Troisvierges (l) -- Gouvy,,700,,,
105,NMBS/SNCB,BUS,Lille Flandres(f) -- Tournai,,700,,,
106,NMBS/SNCB,IC,Hasselt -- Genk,,103,,,
107,NMBS/SNCB,L,Mons -- Quevy,,100,,,
108,NMBS/SNCB,IC,Bruges -- Knokke,,103,,,
109,NMBS/SNCB,L,Jette -- Bruxelles-Midi,,100,,,
11,NMBS/SNCB,BUS,Courtrai -- Bissegem,,700,,,
110,NMBS/SNCB,IC,Namur -- Tamines,,103,,,
111,NMBS/SNCB,L,Namur -- Dinant,,100,,,
112,NMBS/SNCB,IC,Gand-Saint-Pierre -- Alost,,103,,,
113,NMBS/SNCB,IC,Bissegem -- Poperinge,,103,,,
114,NMBS/SNCB,L,De Pinte -- Renaix,,100,,,
115,NMBS/SNCB,L,Schaerbeek -- Grammont,,100,,,
116,NMBS/SNCB,IC,Menin -- Poperinge,,103,,,
117,NMBS/SNCB,IC,Namur -- Dinant,,103,,,
118,NMBS/SNCB,IC,Deinze -- La Panne,,103,,,
119,NMBS/SNCB,IC,Schellebelle -- Denderleeuw,,103,,,
12,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Courtrai,,700,,,
120,NMBS/SNCB,IC,Waregem -- Poperinge,,103,,,
121,NMBS/SNCB,IC,Courtrai -- Waregem,,103,,,
122,NMBS/SNCB,IC,Louvain -- Gand-Saint-Pierre,,103,,,
123,NMBS/SNCB,P,Sint-Joris-Weert -- Gand-Saint-Pierre,,103,,,
124,NMBS/SNCB,IC,Tielt -- La Panne,,103,,,
125,NMBS/SNCB,IC,Ostende -- Lichtervelde,,103,,,
126,NMBS/SNCB,EXTRA,Denderleeuw -- Courtrai,,103,,,
127,NMBS/SNCB,IC,Bruges -- Lichtervelde,,103,,,
128,NMBS/SNCB,IC,Anvers-Central -- Gand-Saint-Pierre,,103,,,
129,NMBS/SNCB,L,Puurs -- Hoboken-Polder,,100,,,
13,NMBS/SNCB,BUS,Audenarde -- Denderleeuw,,700,,,
130,NMBS/SNCB,IC,Schaerbeek -- Louvain,,103,,,
131,NMBS/SNCB,IC,Anvers-Central -- Louvain,,103,,,
132,NMBS/SNCB,L,Bruxelles-Nord -- Louvain,,100,,,
133,NMBS/SNCB,IC,Anvers-Central -- Mol,,103,,,
134,NMBS/SNCB,IC,Anvers-Central -- Lierre,,103,,,
135,NMBS/SNCB,IC,Vilvorde -- Bruxelles-Midi,,103,,,
136,NMBS/SNCB,IC,Tongres -- Liege-Guillemins,,103,,,
137,NMBS/SNCB,IC,Anvers-Central -- Kontich-Lint,,103,,,
138,NMBS/SNCB,IC,Bruxelles-Nord -- Ostende,,103,,,
139,NMBS/SNCB,IC,Saint-Nicolas -- Courtrai,,103,,,
14,NMBS/SNCB,BUS,Alost -- Denderleeuw,,700,,,
140,NMBS/SNCB,L,Anvers-Central -- Essen,,100,,,
141,NMBS/SNCB,L,Namur -- Tamines,,100,,,
142,NMBS/SNCB,L,Arlon -- Athus,,100,,,
143,NMBS/SNCB,L,Libramont -- Bertrix,,100,,,
144,NMBS/SNCB,IC,Liers -- Huy,,103,,,
145,NMBS/SNCB,IC,Tamines -- Mons,,103,,,
146,NMBS/SNCB,IC,Tamines -- Mouscron,,103,,,
147,NMBS/SNCB,L,Liege-Guillemins -- Huy,,100,,,
148,NMBS/SNCB,IC,Enghien -- Tournai,,103,,,
149,NMBS/SNCB,L,Enghien -- Denderleeuw,,100,,,
15,NMBS/SNCB,BUS,Lichtervelde -- Courtrai,,700,,,
150,NMBS/SNCB,IC,Mons -- Tournai,,103,,,
151,NMBS/SNCB,IC,Binche -- Braine-Le-Comte,,103,,,
152,NMBS/SNCB,L,Jurbise -- Quevy,,100,,,
153,NMBS/SNCB,IC,Mons -- Soignies,,103,,,
154,NMBS/SNCB,IC,Charleroi-Sud -- Mouscron,,103,,,
155,NMBS/SNCB,IC,Mons -- Courtrai,,103,,,
156,NMBS/SNCB,L,Mons -- Jurbise,,100,,,
157,NMBS/SNCB,IC,Tournai -- Mouscron,,103,,,
158,NMBS/SNCB,P,Schaerbeek -- Charleroi-Sud,,103,,,
159,NMBS/SNCB,IC,La Louviere-Sud -- Braine-Le-Comte,,103,,,
16,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Grammont,,700,,,
160,NMBS/SNCB,IC,Mons -- Braine-Le-Comte,,103,,,
161,NMBS/SNCB,P,Charleroi-Sud -- Braine-Le-Comte,,103,,,
162,NMBS/SNCB,IC,Nivelles -- Luttre,,103,,,
163,NMBS/SNCB,IC,Nivelles -- Charleroi-Sud,,103,,,
164,NMBS/SNCB,L,Nivelles -- Charleroi-Sud,,100,,,
165,NMBS/SNCB,L,Enghien -- Grammont,,100,,,
166,NMBS/SNCB,IC,Bruxelles-Midi -- Enghien,,103,,,
167,NMBS/SNCB,IC,Charleroi-Sud -- Tournai,,103,,,
168,NMBS/SNCB,S34,Anvers-Central -- Saint-Nicolas,,100,,,
169,NMBS/SNCB,IC,Hasselt -- Tongres,,103,,,
17,NMBS/SNCB,BUS,Anvers-Central -- Saint-Nicolas,,700,,,
170,NMBS/SNCB,IC,Genk -- Bruges,,103,,,
171,NMBS/SNCB,IC,Tongres -- Bruges,,103,,,
172,NMBS/SNCB,IC,Genk -- Blankenberge,,103,,,
173,NMBS/SNCB,IC,Tongres -- Blankenberge,,103,,,
174,NMBS/SNCB,IC,Hasselt -- Blankenberge,,103,,,
175,NMBS/SNCB,IC,Bruges -- Blankenberge,,103,,,
176,NMBS/SNCB,S6,Schaerbeek -- Grammont,,100,,,
177,NMBS/SNCB,S6,Schaerbeek -- Denderleeuw,,100,,,
178,NMBS/SNCB,S6,Enghien -- Denderleeuw,,100,,,
179,NMBS/SNCB,S6,Grammont -- Denderleeuw,,100,,,
18,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Lokeren,,700,,,
180,NMBS/SNCB,S6,Enghien -- Grammont,,100,,,
181,NMBS/SNCB,L,Audenarde -- Zottegem,,100,,,
182,NMBS/SNCB,L,Zottegem -- Courtrai,,100,,,
183,NMBS/SNCB,L,Audenarde -- Courtrai,,100,,,
184,NMBS/SNCB,IC,Liege-Guillemins -- Mons,,103,,,
185,NMBS/SNCB,IC,Liege-Guillemins -- Quievrain,,103,,,
186,NMBS/SNCB,IC,Anvers-Central -- Noorderkempen (brecht),,103,,,
187,NMBS/SNCB,IC,Saint-Ghislain -- Quievrain,,103,,,
188,NMBS/SNCB,IC,Liege-Guillemins -- Trois-Ponts,,103,,,
189,NMBS/SNCB,IC,Liege-Guillemins -- Eupen,,103,,,
19,NMBS/SNCB,BUS,Bruges -- Lichtervelde,,700,,,
190,NMBS/SNCB,IC,Liers -- Trois-Ponts,,103,,,
191,NMBS/SNCB,IC,Welkenraedt -- Eupen,,103,,,
192,NMBS/SNCB,IC,Mons -- Saint-Ghislain,,103,,,
193,NMBS/SNCB,IC,Hasselt -- Landen,,103,,,
194,NMBS/SNCB,EXTRA,Hasselt -- Landen,,103,,,
195,NMBS/SNCB,IC,Mons -- Quievrain,,103,,,
196,NMBS/SNCB,L,Hasselt -- Tongres,,100,,,
197,NMBS/SNCB,L,Maastricht (nl) -- Liers,,100,,,
198,NMBS/SNCB,L,Bruxelles-Midi -- Anvers-Central,,100,,,
199,NMBS/SNCB,IC,Bruxelles-Midi -- Brussels Airport - Zaventem,,103,,,
2,NMBS/SNCB,BUS,Gand-Saint-Pierre -- Zottegem,,700,,,
20,NMBS/SNCB,BUS,Termonde -- Lokeren,,700,,,
200,NMBS/SNCB,L,Liege-Guillemins -- Flemalle-Haute,,100,,,
201,NMBS/SNCB,IC,Anvers-Central -- Essen,,103,,,
202,NMBS/SNCB,IC,Liege-Guillemins -- Liers,,103,,,
203,NMBS/SNCB,IC,Bruxelles-Midi -- Anvers-Luchtbal,,103,,,
204,NMBS/SNCB,IC,La Louviere-Sud -- Binche,,103,,,
205,NMBS/SNCB,L,Liege-Guillemins -- Liege-Saint-Lambert,,100,,,
206,NMBS/SNCB,IC,Liege-Guillemins -- Saint-Ghislain,,103,,,
207,NMBS/SNCB,S1,Bruxelles-Midi -- Anvers-Central,,100,,,
208,NMBS/SNCB,S1,Nivelles -- Anvers-Central,,100,,,
209,NMBS/SNCB,P,Bruxelles-Midi -- Rochefort-Jemelle,,103,,,
21,NMBS/SNCB,BUS,Courtrai -- Roulers,,700,,,
210,NMBS/SNCB,S1,Schaerbeek -- Nivelles,,100,,,
211,NMBS/SNCB,S1,Vilvorde -- Bruxelles-Midi,,100,,,
212,NMBS/SNCB,IC,Gand-Saint-Pierre -- Saint-Nicolas,,103,,,
213,NMBS/SNCB,L,Jambes -- Charleroi-Sud,,100,,,
214,NMBS/SNCB,L,Liers -- Flemalle-Haute,,100,,,
215,NMBS/SNCB,IC,Anvers-Central -- Ostende,,103,,,
216,NMBS/SNCB,IC,Ostende -- Saint-Nicolas,,103,,,
217,NMBS/SNCB,EXTRA,Herentals -- Louvain,,103,,,
218,NMBS/SNCB,P,Hamont -- Louvain,,103,,,
219,NMBS/SNCB,EXTRA,Herentals -- Mol,,103,,,
22,NMBS/SNCB,BUS,Malines -- Termonde,,700,,,
220,NMBS/SNCB,L,Anvers-Central -- Puurs,,100,,,
221,NMBS/SNCB,L,Nivelles -- Landen,,100,,,
222,NMBS/SNCB,IC,Welkenraedt -- Ostende,,103,,,
