route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,trip_type
3,000003,88____:049::8892007:8895208:10:1735:20220313,Zottegem,11010,,76,,1
3,000014,88____:049::8892007:8895208:10:1435:20220320,Zottegem,11010,,77,,1
15,000019,88____:049::8892205:8896008:5:1245:20220410,Courtrai,11010,,78,,1
11,000006,88____:049::8896388:8896008:2:1246:20220408,Courtrai,11010,,79,,1
9,000011,88____:049::8895802:8895505:10:1619:20220327,Grammont,11010,,80,,1
1,000016,88____:049::8896305:8896735:5:1441:20220227,Poperinge,11011,,81,,1
2,000021,88____:049::8892338:8892205:6:1224:20220220,Lichtervelde,11011,,82,,1
14,000018,88____:049::8895000:8895802:3:1243:20220306,Denderleeuw,11011,,83,,1
3,000003,88____:049::8892007:8895208:10:1835:20220313,Zottegem,11011,,84,,1
3,000014,88____:049::8892007:8895208:10:1535:20220320,Zottegem,11011,,85,,1
15,000019,88____:049::8892205:8896008:5:1345:20220410,Courtrai,11011,,86,,1
11,000006,88____:049::8896388:8896008:2:1346:20220408,Courtrai,11011,,87,,1
9,000011,88____:049::8895802:8895505:10:1719:20220327,Grammont,11011,,88,,1
1,000016,88____:049::8896305:8896735:5:1541:20220227,Poperinge,11012,,89,,1
2,000021,88____:049::8892338:8892205:6:1324:20220220,Lichtervelde,11012,,90,,1
14,000018,88____:049::8895000:8895802:3:1343:20220306,Denderleeuw,11012,,91,,1
3,000003,88____:049::8892007:8895208:10:1935:20220313,Zottegem,11012,,92,,1
3,000014,88____:049::8892007:8895208:10:1635:20220320,Zottegem,11012,,93,,1
15,000019,88____:049::8892205:8896008:5:1445:20220410,Courtrai,11012,,94,,1
11,000006,88____:049::8896388:8896008:2:1446:20220408,Courtrai,11012,,95,,1
9,000011,88____:049::8895802:8895505:10:1819:20220327,Grammont,11012,,96,,1
1,000016,88____:049::8896305:8896735:5:1641:20220227,Poperinge,11013,,97,,1
2,000021,88____:049::8892338:8892205:6:1424:20220220,Lichtervelde,11013,,98,,1
14,000018,88____:049::8895000:8895802:3:1443:20220306,Denderleeuw,11013,,99,,1
3,000003,88____:049::8892007:8895208:10:2035:20220313,Zottegem,11013,,100,,1
3,000014,88____:049::8892007:8895208:10:1735:20220320,Zottegem,11013,,101,,1
15,000019,88____:049::8892205:8896008:5:1545:20220410,Courtrai,11013,,102,,1
11,000006,88____:049::8896388:8896008:2:1546:20220408,Courtrai,11013,,103,,1
